trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
1	practice	2022-10-12 13:11	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_12_left	7-44	inverted	12	left	(-16, 4)	(31, 1)	-16.0	-4.0	4.0	3355	11	27
2	practice	2022-10-12 13:11	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_3_left	7-44	inverted	3	left	(-9, -3)	(38, 2)	-6.0	-3.0	3.0	1728	0	6
3	practice	2022-10-12 13:11	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_7_right	7-44	inverted	7	right	(17, 12)	(21, 3)	10.0	3.0	3.0	3212	22	12
4	practice	2022-10-12 13:11	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_16_left	7-44	inverted	16	left	(-25, -8)	(-27, -2)	-13.0	3.0	3.0	2710	15	28
5	practice	2022-10-12 13:11	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_3_right	ycyc	inverted	3	right	(-8, -4)	(18, -2)	5.0	2.0	2.0	2677	10	5
1	real	2022-10-12 13:12	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_5_right	ycyc	inverted	5	right	(37, 0)	(-32, -10)	5.0	0.0	0.0	2377	9	4
2	real	2022-10-12 13:12	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_10_left	ycyc	inverted	10	left	(22, 6)	(19, 13)	-14.0	-4.0	4.0	3605	11	25
3	real	2022-10-12 13:12	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_4_right	ycyc	inverted	4	right	(11, -11)	(13, 2)	5.0	1.0	1.0	2511	14	9
4	real	2022-10-12 13:12	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_1_right	ycyc	upright	1	right	(34, -4)	(28, -3)	-4.0	-5.0	5.0	3142	5	9
5	real	2022-10-12 13:12	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_11_left	7-44	inverted	11	left	(22, 7)	(-19, 2)	-11.0	0.0	0.0	2843	3	14
6	real	2022-10-12 13:12	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_6_left	ycyc	inverted	6	left	(16, -12)	(13, 11)	-8.0	-2.0	2.0	2629	4	12
7	real	2022-10-12 13:12	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_2_left	ycyc	upright	2	left	(-36, 12)	(-40, -1)	-7.0	-5.0	5.0	3001	0	7
8	real	2022-10-12 13:12	leanthony2	10	1	right	Exercise 5	1	ycyc_upright_3_left	ycyc	upright	3	left	(28, -13)	(-34, -4)	-2.0	1.0	1.0	1595	0	2
9	real	2022-10-12 13:12	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_9_left	ycyc	inverted	9	left	(-29, -11)	(-27, 4)	-10.0	-1.0	1.0	2011	0	10
10	real	2022-10-12 13:12	leanthony2	10	1	right	Exercise 5	1	7-44_inverted_9_right	7-44	inverted	9	right	(18, 11)	(22, -11)	10.0	1.0	1.0	4525	25	15
11	real	2022-10-12 13:12	leanthony2	10	1	right	Exercise 5	1	7-44_upright_16_right	7-44	upright	16	right	(18, 12)	(15, 9)	10.0	-6.0	6.0	4643	31	21
12	real	2022-10-12 13:12	leanthony2	10	1	right	Exercise 5	1	ycyc_inverted_6_right	ycyc	inverted	6	right	(24, 14)	(17, -5)	7.0	1.0	1.0	3244	17	10
