trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
1	practice	2022-10-12 18:35	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_12_left	7-44	inverted	12	left	(-16, 4)	(31, 1)	-11.0	1.0	1.0	3054	11	0
2	practice	2022-10-12 18:35	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_3_left	7-44	inverted	3	left	(-9, -3)	(38, 2)	-4.0	-1.0	1.0	2311	4	0
3	practice	2022-10-12 18:35	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_7_right	7-44	inverted	7	right	(17, 12)	(21, 3)	4.0	-3.0	3.0	3427	5	9
4	practice	2022-10-12 18:35	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_16_left	7-44	inverted	16	left	(-25, -8)	(-27, -2)	-16.0	0.0	0.0	3077	16	0
5	practice	2022-10-12 18:35	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_3_right	ycyc	inverted	3	right	(-8, -4)	(18, -2)	0.0	-3.0	3.0	1925	0	0
1	real	2022-10-12 18:35	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_5_right	ycyc	inverted	5	right	(37, 0)	(-32, -10)	2.0	-3.0	3.0	4737	7	9
2	real	2022-10-12 18:35	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_10_left	ycyc	inverted	10	left	(22, 6)	(19, 13)	-9.0	1.0	1.0	2592	9	0
3	real	2022-10-12 18:35	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_4_right	ycyc	inverted	4	right	(11, -11)	(13, 2)	1.0	-3.0	3.0	4142	5	6
4	real	2022-10-12 18:35	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_1_right	ycyc	upright	1	right	(34, -4)	(28, -3)	0.0	-1.0	1.0	3377	1	1
5	real	2022-10-12 18:35	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_11_left	7-44	inverted	11	left	(22, 7)	(-19, 2)	-6.0	5.0	5.0	3209	6	0
6	real	2022-10-12 18:35	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_6_left	ycyc	inverted	6	left	(16, -12)	(13, 11)	-7.0	-1.0	1.0	4143	9	2
7	real	2022-10-12 18:35	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_2_left	ycyc	upright	2	left	(-36, 12)	(-40, -1)	-3.0	-1.0	1.0	1676	3	0
8	real	2022-10-12 18:36	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_3_left	ycyc	upright	3	left	(28, -13)	(-34, -4)	-3.0	0.0	0.0	3242	5	2
9	real	2022-10-12 18:36	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_9_left	ycyc	inverted	9	left	(-29, -11)	(-27, 4)	-8.0	1.0	1.0	2645	8	0
10	real	2022-10-12 18:36	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_9_right	7-44	inverted	9	right	(18, 11)	(22, -11)	8.0	-1.0	1.0	4211	2	10
11	real	2022-10-12 18:36	lmodahl	10	1	left	Exercise 5	1	7-44_upright_16_right	7-44	upright	16	right	(18, 12)	(15, 9)	10.0	-6.0	6.0	3062	0	10
12	real	2022-10-12 18:36	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_6_right	ycyc	inverted	6	right	(24, 14)	(17, -5)	3.0	-3.0	3.0	1741	0	3
13	real	2022-10-12 18:36	lmodahl	10	1	left	Exercise 5	1	7-44_upright_9_left	7-44	upright	9	left	(-7, 13)	(18, -2)	-12.0	-3.0	3.0	2609	13	1
14	real	2022-10-12 18:36	lmodahl	10	1	left	Exercise 5	1	7-44_inverted_6_right	7-44	inverted	6	right	(2, 5)	(26, 14)	7.0	1.0	1.0	2410	5	12
15	real	2022-10-12 18:36	lmodahl	10	1	left	Exercise 5	1	7-44_upright_2_right	7-44	upright	2	right	(26, -11)	(-10, -5)	0.0	-2.0	2.0	4909	3	3
16	real	2022-10-12 18:36	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_1_left	ycyc	upright	1	left	(39, -14)	(-15, 5)	-2.0	-1.0	1.0	2527	2	0
17	real	2022-10-12 18:36	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_5_right	ycyc	upright	5	right	(35, 3)	(21, -15)	2.0	-3.0	3.0	3159	4	6
18	real	2022-10-12 18:36	lmodahl	10	1	left	Exercise 5	1	ycyc_inverted_7_left	ycyc	inverted	7	left	(-26, -6)	(15, 12)	-10.0	-3.0	3.0	4260	10	0
19	real	2022-10-12 18:36	lmodahl	10	1	left	Exercise 5	1	ycyc_upright_14_right	ycyc	upright	14	right	(-9, 7)	(-3, 13)	13.0	-1.0	1.0	3842	17	30
