trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
1	practice	2022-10-12 13:56	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_15_left	ycyc	upright	15	left	(-16, 4)	(31, 1)	-9.0	6.0	6.0	3897	18	27
2	practice	2022-10-12 13:56	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_5_left	ycyc	inverted	5	left	(-9, -3)	(38, 2)	-6.0	-1.0	1.0	4447	27	33
3	practice	2022-10-12 13:56	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_7_left	ycyc	upright	7	left	(17, 12)	(21, 3)	-8.0	-1.0	1.0	4083	15	23
4	practice	2022-10-12 13:57	tilt_masmith59	10	1	right	Exercise 5	1	7-44_inverted_10_left	7-44	inverted	10	left	(-25, -8)	(-27, -2)	-11.0	-1.0	1.0	1851	0	11
5	practice	2022-10-12 13:57	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_10_left	ycyc	upright	10	left	(-8, -4)	(18, -2)	-7.0	3.0	3.0	3705	8	15
1	real	2022-10-12 13:57	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_4_right	ycyc	upright	4	right	(37, 0)	(-32, -10)	6.0	2.0	2.0	4085	13	7
2	real	2022-10-12 13:57	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_upright_8_left	ycyc	upright	8	left	(22, 6)	(19, 13)	-8.0	0.0	0.0	3355	16	24
3	real	2022-10-12 13:57	tilt_masmith59	10	1	right	Exercise 5	1	ycyc_inverted_6_left	ycyc	inverted	6	left	(11, -11)	(13, 2)	-6.0	0.0	0.0	4548	5	11
4	real	2022-10-12 13:57	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_12_right	7-44	upright	12	right	(34, -4)	(28, -3)	11.0	-1.0	1.0	5399	32	21
5	real	2022-10-12 13:57	tilt_masmith59	10	1	right	Exercise 5	1	7-44_upright_1_right	7-44	upright	1	right	(22, 7)	(-19, 2)	0.0	-1.0	1.0	2167	0	0
