trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
1	practice	2022-10-12 18:40	PsychLH2022	10	1	right	Exercise 5	1	ycyc_upright_15_left	ycyc	upright	15	left	(-16, 4)	(31, 1)	-8.0	7.0	7.0	2394	0	8
2	practice	2022-10-12 18:40	PsychLH2022	10	1	right	Exercise 5	1	ycyc_inverted_5_left	ycyc	inverted	5	left	(-9, -3)	(38, 2)	-8.0	-3.0	3.0	1382	0	8
3	practice	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	ycyc_upright_7_left	ycyc	upright	7	left	(17, 12)	(21, 3)	-5.0	2.0	2.0	1954	0	5
4	practice	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	7-44_inverted_10_left	7-44	inverted	10	left	(-25, -8)	(-27, -2)	-10.0	0.0	0.0	1908	0	10
5	practice	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	ycyc_upright_10_left	ycyc	upright	10	left	(-8, -4)	(18, -2)	-9.0	1.0	1.0	1515	0	9
1	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	ycyc_upright_4_right	ycyc	upright	4	right	(37, 0)	(-32, -10)	2.0	-2.0	2.0	2193	2	0
2	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	ycyc_upright_8_left	ycyc	upright	8	left	(22, 6)	(19, 13)	-8.0	0.0	0.0	1550	0	8
3	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	ycyc_inverted_6_left	ycyc	inverted	6	left	(11, -11)	(13, 2)	-7.0	-1.0	1.0	1833	2	9
4	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	7-44_upright_12_right	7-44	upright	12	right	(34, -4)	(28, -3)	7.0	-5.0	5.0	1216	7	0
5	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	7-44_upright_1_right	7-44	upright	1	right	(22, 7)	(-19, 2)	1.0	0.0	0.0	1232	1	0
6	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	ycyc_inverted_3_left	ycyc	inverted	3	left	(16, -12)	(13, 11)	-4.0	-1.0	1.0	1385	0	4
7	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	ycyc_inverted_11_right	ycyc	inverted	11	right	(-36, 12)	(-40, -1)	4.0	-7.0	7.0	1150	4	0
8	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	ycyc_inverted_12_right	ycyc	inverted	12	right	(28, -13)	(-34, -4)	7.0	-5.0	5.0	1249	7	0
9	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	7-44_upright_16_left	7-44	upright	16	left	(-29, -11)	(-27, 4)	-10.0	6.0	6.0	1366	0	10
10	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	7-44_inverted_3_left	7-44	inverted	3	left	(18, 11)	(22, -11)	-8.0	-5.0	5.0	1335	0	8
11	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	ycyc_upright_9_left	ycyc	upright	9	left	(18, 12)	(15, 9)	-10.0	-1.0	1.0	1331	0	10
12	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	7-44_inverted_2_left	7-44	inverted	2	left	(24, 14)	(17, -5)	-4.0	-2.0	2.0	1674	2	6
13	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	7-44_inverted_11_right	7-44	inverted	11	right	(-7, 13)	(18, -2)	6.0	-5.0	5.0	1138	6	0
14	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	ycyc_inverted_7_right	ycyc	inverted	7	right	(2, 5)	(26, 14)	3.0	-4.0	4.0	1116	3	0
15	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	7-44_inverted_8_right	7-44	inverted	8	right	(26, -11)	(-10, -5)	6.0	-2.0	2.0	1148	6	0
16	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	7-44_inverted_6_right	7-44	inverted	6	right	(39, -14)	(-15, 5)	7.0	1.0	1.0	1568	7	0
17	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	ycyc_upright_7_right	ycyc	upright	7	right	(35, 3)	(21, -15)	4.0	-3.0	3.0	1315	4	0
18	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	ycyc_inverted_2_right	ycyc	inverted	2	right	(-26, -6)	(15, 12)	0.0	-2.0	2.0	1554	0	0
19	real	2022-10-12 18:41	PsychLH2022	10	1	right	Exercise 5	1	ycyc_upright_6_right	ycyc	upright	6	right	(-9, 7)	(-3, 13)	5.0	-1.0	1.0	1634	5	0
20	real	2022-10-12 18:42	PsychLH2022	10	1	right	Exercise 5	1	7-44_inverted_16_right	7-44	inverted	16	right	(-29, -14)	(36, 14)	11.0	-5.0	5.0	2083	11	0
21	real	2022-10-12 18:42	PsychLH2022	10	1	right	Exercise 5	1	ycyc_inverted_14_left	ycyc	inverted	14	left	(30, 9)	(-27, 11)	-9.0	5.0	5.0	1516	0	9
22	real	2022-10-12 18:42	PsychLH2022	10	1	right	Exercise 5	1	7-44_upright_10_left	7-44	upright	10	left	(-4, -10)	(21, -11)	-9.0	1.0	1.0	1150	0	9
23	real	2022-10-12 18:42	PsychLH2022	10	1	right	Exercise 5	1	7-44_upright_2_right	7-44	upright	2	right	(6, 4)	(11, 14)	1.0	-1.0	1.0	1333	1	0
24	real	2022-10-12 18:42	PsychLH2022	10	1	right	Exercise 5	1	7-44_upright_3_left	7-44	upright	3	left	(-16, -4)	(-17, -13)	-2.0	1.0	1.0	966	0	2
25	real	2022-10-12 18:42	PsychLH2022	10	1	right	Exercise 5	1	7-44_upright_13_right	7-44	upright	13	right	(35, -9)	(14, -9)	4.0	-9.0	9.0	1190	4	0
26	real	2022-10-12 18:42	PsychLH2022	10	1	right	Exercise 5	1	ycyc_inverted_10_right	ycyc	inverted	10	right	(-28, 6)	(-1, 13)	8.0	-2.0	2.0	1536	8	0
27	real	2022-10-12 18:42	PsychLH2022	10	1	right	Exercise 5	1	7-44_inverted_4_right	7-44	inverted	4	right	(19, 12)	(26, 8)	5.0	1.0	1.0	1504	5	0
28	real	2022-10-12 18:42	PsychLH2022	10	1	right	Exercise 5	1	ycyc_inverted_13_right	ycyc	inverted	13	right	(14, -1)	(31, -9)	5.0	-8.0	8.0	1150	5	0
