trial_number	practice_or_real	date_time	subj_code	seed	number_of_blocks	up_resp	expName	block_num	filename	displayed_string	orientation	true_angle	tilt_direction	standard_position	adjust_stim_position	matched_angle	signed_error	absolute_error	RT	num_mouse_wheel_up	num_mouse_wheel_down
1	practice	2022-10-12 14:36	tilt_bengreen927	10	1	right	Exercise 5	1	ycyc_upright_15_left	ycyc	upright	15	left	(-16, 4)	(31, 1)	-15.0	0.0	0.0	1940	0	15
2	practice	2022-10-12 14:36	tilt_bengreen927	10	1	right	Exercise 5	1	ycyc_inverted_5_left	ycyc	inverted	5	left	(-9, -3)	(38, 2)	-16.0	-11.0	11.0	1469	0	16
3	practice	2022-10-12 14:36	tilt_bengreen927	10	1	right	Exercise 5	1	ycyc_upright_7_left	ycyc	upright	7	left	(17, 12)	(21, 3)	-12.0	-5.0	5.0	1402	0	12
4	practice	2022-10-12 14:36	tilt_bengreen927	10	1	right	Exercise 5	1	7-44_inverted_10_left	7-44	inverted	10	left	(-25, -8)	(-27, -2)	-13.0	-3.0	3.0	2511	4	17
5	practice	2022-10-12 14:36	tilt_bengreen927	10	1	right	Exercise 5	1	ycyc_upright_10_left	ycyc	upright	10	left	(-8, -4)	(18, -2)	-14.0	-4.0	4.0	1755	0	14
1	real	2022-10-12 14:36	tilt_bengreen927	10	1	right	Exercise 5	1	ycyc_upright_4_right	ycyc	upright	4	right	(37, 0)	(-32, -10)	6.0	2.0	2.0	3692	8	2
2	real	2022-10-12 14:36	tilt_bengreen927	10	1	right	Exercise 5	1	ycyc_upright_8_left	ycyc	upright	8	left	(22, 6)	(19, 13)	-10.0	-2.0	2.0	1937	0	10
3	real	2022-10-12 14:36	tilt_bengreen927	10	1	right	Exercise 5	1	ycyc_inverted_6_left	ycyc	inverted	6	left	(11, -11)	(13, 2)	-7.0	-1.0	1.0	1387	0	7
4	real	2022-10-12 14:36	tilt_bengreen927	10	1	right	Exercise 5	1	7-44_upright_12_right	7-44	upright	12	right	(34, -4)	(28, -3)	13.0	1.0	1.0	1486	13	0
5	real	2022-10-12 14:36	tilt_bengreen927	10	1	right	Exercise 5	1	7-44_upright_1_right	7-44	upright	1	right	(22, 7)	(-19, 2)	0.0	-1.0	1.0	1513	0	0
